training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.257562,6.274381,6.274381
10,3.173016,2.921875,3.062500
20,1.743088,1.634530,1.819369
30,1.188636,1.305461,1.510134
40,0.910008,1.183896,1.433726
50,0.685146,1.104054,1.386851
60,0.555345,1.089202,1.390455
70,0.443765,1.077012,1.403420
80,0.361789,1.121226,1.453729
90,0.300357,1.122170,1.494339
100,0.247925,1.133417,1.539497
110,0.208777,1.116074,1.539497
120,0.188534,1.172310,1.607149
130,0.159062,1.207164,1.663554
140,0.139372,1.235753,1.686821
150,0.124912,1.206390,1.682443
