training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.252778,6.274381,6.274381
10,3.830664,3.595637,3.701577
20,2.072870,1.877661,2.062500
30,1.365243,1.318595,1.533571
40,1.084361,1.201408,1.436387
50,0.838576,1.092033,1.321690
60,0.680089,1.074690,1.318256
70,0.545339,1.032967,1.285289
80,0.495769,1.080786,1.345128
90,0.381456,1.065161,1.364188
100,0.331611,1.087655,1.394494
110,0.268607,1.091089,1.381360
120,0.217920,1.110149,1.421366
130,0.221786,1.164836,1.476827
140,0.163982,1.155307,1.483866
150,0.155724,1.170932,1.520268
160,0.134772,1.196086,1.525420
170,0.120340,1.224676,1.556670
180,0.102554,1.234205,1.584485
190,0.092678,1.258417,1.612301
200,0.085648,1.254982,1.613074
210,0.080500,1.284515,1.681670
220,0.071416,1.300140,1.677292
230,0.066650,1.311387,1.700899
240,0.062453,1.328729,1.736527
250,0.055418,1.345298,1.731205
260,0.058401,1.370452,1.791214
270,0.045614,1.377321,1.782458
280,0.042042,1.371226,1.838089
290,0.043781,1.403250,1.836202
300,0.041398,1.417158,1.870113
