training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.233627,6.243131,6.243131
10,4.035567,3.826577,3.967202
20,2.535355,2.288119,2.493131
30,1.796298,1.666723,1.881095
40,1.361170,1.362036,1.569369
50,1.111311,1.255321,1.452182
60,0.826941,1.097185,1.321086
70,0.673749,1.050310,1.312330
80,0.609710,1.067652,1.334824
90,0.455471,1.015625,1.295932
100,0.395202,1.022664,1.313274
110,0.321488,1.015625,1.314991
120,0.325182,1.105940,1.404363
130,0.247459,1.086881,1.411402
140,0.204277,1.066708,1.418101
150,0.186584,1.104223,1.451238
