training loops, loss(DB-train), loss(DB-test), loss(DB-validation)
1,6.258974,6.266786,6.276679
10,3.845704,3.548054,3.719179
20,2.616874,2.315250,2.511107
30,1.626977,1.434330,1.628295
40,1.153052,1.068366,1.229339
50,0.902821,0.873071,1.058911
60,0.729191,0.741183,0.934384
70,0.581429,0.637371,0.831656
80,0.490395,0.582634,0.765777
90,0.442935,0.550420,0.763379
100,0.369190,0.509353,0.724562
110,0.325019,0.484491,0.702848
120,0.294931,0.447696,0.676701
130,0.291039,0.450420,0.661304
140,0.216590,0.404263,0.638701
150,0.221690,0.398500,0.637004
160,0.207313,0.399092,0.630763
170,0.179283,0.367232,0.612777
180,0.163625,0.362304,0.602991
190,0.156224,0.360991,0.602138
200,0.134535,0.336105,0.615049
210,0.130297,0.335504,0.612058
220,0.139502,0.356993,0.628424
230,0.115457,0.336846,0.606938
240,0.117411,0.337179,0.597808
250,0.105549,0.331891,0.615437
